P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,0.67,1042.01,289.16,0.3788980794570354,0.9083448433071105
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,0.94,1039.36,278.65,0.47914639420855143,0.979030000222524
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,0.58,1055.34,279.85,0.46841628464190294,0.9671519823474314
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,0.78,1063.67,271.87,0.5349593195235991,1.0024135793034559
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,1.03,1059.21,296.22,0.4963670771032011,1.00892434352412
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,0.72,1066.62,288.38,0.5492527508786675,1.022828583273576
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,0.53,1071.63,306.19,0.4986273895741369,1.0118472800030707
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,0.96,1067.45,269.6,0.5115191454318838,1.0022048731808775
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,0.69,1061.34,313.5,0.5501950730086806,1.0413749468222555
20818904.87,1154.64,24708759.66,2.98,842.59,82.43,0.85,1052.91,300.68,0.5122178961516716,0.994113979833682
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,0.58,1100.1,263.73,0.5371690632332442,0.9990228822086011
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,0.5,1108.2,285.58,0.5392193411001722,0.9996847309144481
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,0.92,1104.47,306.22,0.5303343234934706,0.9997210512216449
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,0.78,1094.99,312.42,0.5269109917073123,0.998663614710401
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,1.03,1112.05,277.76,0.5424941269298829,1.0003936028176699
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,0.71,1109.72,273.28,0.5400346479635404,0.9998488528399826
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,0.87,1098.18,292.48,0.5354096465486622,0.9991135125393908
142067185.87,1189.05,24813874.85,2.78,831.63,75.39,0.69,1102.32,302.79,0.5287303328082881,0.9992662679279006
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,0.57,966.37,272.1,0.18314255080309338,0.7885160699549119
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,0.93,975.01,313.63,0.3984549310563242,0.9586464675043529
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,1.02,979.85,267.11,0.4293159326433076,0.966881469597525
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,0.76,972.79,311.13,0.3336816865604113,0.9104220279598952
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,0.53,964.56,289.1,0.12855492730087584,0.7454195251976222
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,0.86,968.73,297.73,0.3720105186631537,0.9415988968201707
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,0.83,980.59,291.57,0.3802226331095712,0.9422895950491651
57700269.98,1029.63,24697142.79,2.78,821.85,46.62,0.65,977.98,279.0,0.27923080389654853,0.8625317276435808
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,0.88,1115.28,293.58,0.5424916968998289,1.0001781277337929
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,0.56,1109.55,272.36,0.5415193813023945,0.9994754355594685
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,0.8,1118.42,302.65,0.5363122468872644,1.0001845489137147
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,0.69,1112.91,284.92,0.543003865129741,0.9998173730820967
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,0.95,1111.54,317.95,0.536010939402843,1.0001481010876494
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,0.75,1106.4,283.2,0.5417000172202757,0.9995344462503031
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,1.0,1104.72,269.83,0.5439559954876789,0.9999589969108017
11729952.61,1184.28,24759388.24,2.75,835.41,62.01,0.57,1120.15,309.38,0.535223047577334,1.000040250587148
128951616.56,1098.78,24427241.1,2.85,826.06,85.78,0.73,1001.4,280.55,0.35090872328616546,0.8952119197813921
128951616.56,1098.78,24427241.1,2.85,826.06,85.78,0.57,1010.47,275.91,0.24999213864501635,0.8147989290524844
128951616.56,1098.78,24427241.1,2.85,826.06,85.78,0.54,996.5,309.82,0.18702816182141943,0.7730106612674436
128951616.56,1098.78,24427241.1,2.85,826.06,85.78,0.78,993.87,294.25,0.3608294496229824,0.9087983501190744
