Name,Rating,NumberOfUser,Address,lat,lon
Nasi Goreng Bang Udin,0.0,0,"Gg. Simin Jl. H. Merin / Komp. Dpri No.61, RT.3/RW.4, Meruya Sel., Kota Jakarta Barat",-6.2070164,106.736372
Nasi Goreng Ortega,4.5,2,"Jalan Meruya Selatan Rt 07 Rw 04 Nomor 118 B, Meruya Selatan, Kembangan, RT.4/RW.1, Meruya Sel., Kota Jakarta Barat",-6.208405,106.737909
Nasi Goreng Jampang,3.0,1,"Jl. Meruya Selatan No.8, RT.1/RW.2, Meruya Sel., Kota Jakarta Barat",-6.2127507,106.7378013
Nasi Goreng Sari Raos Banyumas,0.0,0,"Jl. Menara 8 No.17, RT.5/RW.2, Meruya Sel., Kota Jakarta Barat",-6.2124124,106.7311126
Nasi Goreng Pade Nadi,0.0,0,"Jl. Bukit Duri Tanjakan No.58, RT.1/RW.9, Bukit Duri, Kota Jakarta Selatan",-6.2225968,106.8589607
Nasi Goreng Gila bahari,4.6,11,"Jl. Bukit Duri Selatan No.6E, RW.3, Bukit Duri, Kota Jakarta Selatan",-6.219713,106.85302
Nasi Goreng Spesial NGSP,5.0,1,"RT.4/RW.4, Bukit Duri, South Jakarta City",-6.2210576,106.8545304
Nasi Goreng Barkah,4.3,3,"Jl. Keselamatan 2 No.11, RT.9/RW.3, Manggarai Sel., Kota Jakarta Selatan",-6.2209269,106.8486051
NasGor Bang Amat,5.0,4,"RT.5/RW.3, Manggarai, South Jakarta City",-6.2168193,106.8533445
Nasi Goreng Mas NO,4.0,2,"Jl. Sawo IV No.16, RT.8/RW.7, Manggarai Sel., Kota Jakarta Selatan",-6.2190438,106.8481558
Nasi goreng Ganang,4.2,17,"Jl. Sawo IV No.5, RT.8/RW.9, Manggarai Sel., Kota Jakarta Selatan",-6.2176509,106.8479218
NASI GORENG BANG SUENO,5.0,2,"Jl. Sawo Kecik Raya No.4, RT.4/RW.4, Bukit Duri, Kota Jakarta Selatan",-6.2211929,106.855321
Nasi Goreng neo Dansireng nng,5.0,4,"Jl. Swadaya 1 No.8, RT.1/RW.7, Manggarai, Kota Jakarta Selatan",-6.2140966,106.8470561
Nasi Goreng Gila Pondok Berkah,4.5,36,"Jl. Menteng Atas Sel. Gg. 2 No.4, RT.10/RW.4, Menteng Atas, Kota Jakarta Selatan",-6.2176152,106.8402965
Nasi Goreng Malik,4.2,25,"Jl. Subur Raya, RT.3/RW.8, Menteng Atas, Kota Jakarta Selatan",-6.2191418,106.8420957
Nasi goreng kebuli apjay,4.7,3,"Jl. Dr. Saharjo No.96b, RT.1/RW.7, Menteng Atas, Kota Jakarta Selatan",-6.217111,106.8442897
Ayam Penyet Nasi Goreng Sore Malam,4.0,2,"No., Jl. Payakumbuh No.14, RT.1/RW.1, Ps. Manggis, Kota Jakarta Selatan",-6.214436999999999,106.8428832
Nasi goreng madura,5.0,1,"perempatan indomaret, Jl. Menteng Atas, RT.8/RW.12, Menteng Atas, Kota Jakarta Selatan",-6.2140683,106.8406365
Nasi Goreng Ayam Penyet Surabaya,3.6,5,"Jl. Dr. Saharjo No.116A, RT.1/RW.15, Menteng Atas, Kota Jakarta Selatan",-6.218449499999999,106.8450149
Nasi Goreng Gila Bahari,4.2,197,"Jl. Lontar VII No.10, RT.3/RW.5, Menteng Atas, Kota Jakarta Selatan",-6.2188938,106.8378678
Nasi goreng bu'de,0.0,0,"Jl. Mentas Selatan I No.41, RT.4/RW.12, Menteng Atas, Kota Jakarta Selatan",-6.2152942,106.8401363
Warung Nasi Goreng NGKS,4.3,7,"Jalan Menteng atas selatan 3, RT 02 No 5, RT.4/RW.5, Menteng Atas, Kota Jakarta Selatan",-6.221337999999999,106.84327
NGK (Nasi Goreng Kambing),4.3,19,"Jl. Pedurenan Mesjid Raya, RT.6/RW.7, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2209743,106.8296864
Nasi Goreng Barokah,3.3,3,"Jl. Denpasar No.6, RT.6/RW.7, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2193041,106.8301912
Nasi goreng gila mas acil,5.0,5,"Jl. Denpasar Raya No.6, RT.6/RW.7, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2176716,106.8298051
Nasi Goreng Pak De Nasori,5.0,7,"Jl. K.H. Royani I No.25, RT.9/RW.1, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.216875900000001,106.8217476
Nasi Goreng Pohon asem,4.2,29,"No, Jl. Perintis No.32, RT.7/RW.2, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2141651,106.8231491
