country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2008,1,8,2,0,26.4,-119,0,21.8,193,736,568,761,35.7,75.6,0,981.6,231,3,39,,
2008,1,8,3,0,27.1,-132,0,21.6,207,788,699,906,36.2,71.9,0,981.4,237,3.1,27,,
2008,1,8,4,0,27.5,-161,0,21.4,212,817,773,985,36.8,69.6,0,980.7,242,3.1,19,,
2008,1,8,5,0,27.8,158,0.3,21.3,214,808,763,977,37.4,67.7,0,980.1,247,3.2,19,,
2008,1,8,6,0,27.7,131,9.2,21.5,299,592,528,827,37.8,68.8,0,979.5,248,3.2,28,,
2008,1,8,7,0,27.3,119,26.8,21.9,368,255,204,571,38,72.2,0,978.9,247,3.2,40,,
2008,1,8,8,0,26.9,114,26.7,22.4,297,220,126,423,38.2,76.1,0,978.4,245,3.2,54,,
2008,1,8,9,0,26.7,112,25.5,22.6,184,203,81,266,38.2,78.5,0,978.5,243,3.2,67,,
2008,1,8,10,0,26.6,112,13.5,22.8,67,209,44,111,38.1,79.7,0,978.9,241,3.3,81,,
2008,1,8,11,0,26.5,113,36.1,22.9,9,66,11,20,38,80.7,0,979.4,238,3.3,95,,
2008,1,8,12,0,25.9,116,65,22.7,0,0,0,0,37.8,82.4,0,980,236,3.2,108,,
2008,1,8,13,0,25.1,122,44,22.3,0,0,0,0,37.6,84.6,0,980.8,233,2.9,122,,
2008,1,8,14,0,24.2,130,38.1,21.8,0,0,0,0,37.3,86.9,0,981.5,229,2.7,134,,
2008,1,8,15,0,23.6,145,46.4,21.6,0,0,0,0,36.9,88.5,0,981.7,225,2.6,144,,
2008,1,8,16,0,23.3,168,48.9,21.5,0,0,0,0,36.3,89.5,0,981.4,222,2.7,150,,
2008,1,8,17,0,23.1,-166,49,21.4,0,0,0,0,35.6,90.3,0,981.1,219,2.7,150,,
2008,1,8,18,0,22.9,-144,49,21.3,0,0,0,0,35,90.8,0,980.7,217,2.7,143,,
2008,1,8,19,0,22.7,-129,48.8,21.2,0,0,0,0,34.4,91,0,980.3,216,2.7,133,,
2008,1,8,20,0,22.6,-121,48.7,21.1,0,0,0,0,33.8,91.2,0,980,214,2.7,121,,
2008,1,8,21,0,22.8,-116,48.9,21.3,0,0,0,0,33.3,90.9,0,980,212,2.8,108,,
2008,1,8,22,0,23.4,-113,46.9,21.7,3,8,2,5,32.9,90.3,0,980.3,210,3.1,94,,
2008,1,8,23,0,24,-112,13.8,22.2,69,198,49,118,32.6,89.5,0,980.6,207,3.4,80,,
2008,1,9,0,0,24.8,-112,0,22.1,133,469,200,334,32.8,84.8,0,980.9,210,3.6,66,,
2008,1,9,1,0,25.9,-114,0,21.7,166,656,401,568,33.3,77.9,0,981.2,215,3.8,53,,
2008,1,9,2,0,26.9,-119,0,21.2,187,753,581,768,34,71.2,0,981.4,220,4,39,,
